year,age_group,sex,education_category,education_type,region,value
2019,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,66.8
2020,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,58.6
2021,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,63.7
2022,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,68.1
2023,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,74.3
2024,20 - 24 years,Both sexes,All Levels,all,Eastern and Midland,70.8
2019,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,81.2
2020,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,76.1
2021,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,81.6
2022,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,82.4
2023,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,85.2
2024,25 - 29 years,Both sexes,All Levels,all,Eastern and Midland,84.5
2019,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,81.1
2020,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,78.5
2021,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,81.5
2022,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,84.2
2023,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,86.5
2024,30 - 34 years,Both sexes,All Levels,all,Eastern and Midland,85.8
2019,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,83.2
2020,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,78.8
2021,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,81.0
2022,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,83.6
2023,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,82.3
2024,35 - 39 years,Both sexes,All Levels,all,Eastern and Midland,85.3
2019,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,81.8
2020,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,80.0
2021,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,83.4
2022,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,84.6
2023,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,87.4
2024,40 - 44 years,Both sexes,All Levels,all,Eastern and Midland,85.3
2019,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,80.1
2020,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,78.8
2021,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,79.6
2022,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,83.6
2023,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,87.1
2024,45 - 49 years,Both sexes,All Levels,all,Eastern and Midland,84.8
2019,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,78.3
2020,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,75.4
2021,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,77.5
2022,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,81.4
2023,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,80.7
2024,50 - 54 years,Both sexes,All Levels,all,Eastern and Midland,85.2
2019,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,71.0
2020,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,70.6
2021,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,72.2
2022,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,75.4
2023,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,75.0
2024,55 - 59 years,Both sexes,All Levels,all,Eastern and Midland,76.2
